job_id,title,company,city,work_model,experience_level,salary_estimate_eur,description
JOB-1032,Werkstudent Data Analytics,DataWorks,Erlangen,Vor Ort,1,28000,"Gesucht werden Kenntnisse in Java SQL API Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1033,Data Analyst Intern,CloudOps AG,Nürnberg,Vor Ort,3,38000,"Gesucht werden Kenntnisse in Tableau Excel Data Analytics. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1034,Data Analyst Intern,Mobility Systems,Forchheim,Hybrid,1,18000,"Gesucht werden Kenntnisse in Tableau Excel Data Analytics. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1035,Junior Java Developer,Mobility Systems,Forchheim,Remote,1,45000,"Gesucht werden Kenntnisse in AWS API Python. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1036,Werkstudent Data Analytics,Mobility Systems,Remote,Remote,1,22000,"Gesucht werden Kenntnisse in Java SQL API Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1037,Data Analyst Intern,CloudOps AG,Forchheim,Hybrid,2,22000,"Gesucht werden Kenntnisse in Machine Learning Python Azure. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1038,ITSM Analyst,TechConsult GmbH,Erlangen,Remote,3,18000,"Gesucht werden Kenntnisse in Power BI SQL ETL. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1039,Machine Learning Intern,Siemens Healthineers,Erlangen,Hybrid,1,32000,"Gesucht werden Kenntnisse in Python SQL Data Analytics Tableau. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1040,ITSM Analyst,TechConsult GmbH,Forchheim,Hybrid,1,32000,"Gesucht werden Kenntnisse in Tableau Excel Data Analytics. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1041,BI Analyst,DataWorks,Forchheim,Remote,2,45000,"Gesucht werden Kenntnisse in Python SQL Data Analytics Tableau. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
